ID,Tên công việc,Mô tả,ID lĩnh vực,Loại công việc,Loại lương,Yêu cầu
3025,"Nhập liệu, cập nhật sản phẩm cho fanpage facebook - Hợp tác thời vụ lâu dài","<p>Cập nhật sản phẩm fanpage.</p>

<p>- Đăng h&igrave;nh sản phẩm l&ecirc;n facebook để lấy link.</p>

<p>- Nhập th&ocirc;ng tin sản phẩm v&agrave;o spreadsheet tr&ecirc;n Drive. C&oacute; hơn 1000 sản phẩm thuộc c&aacute;c danh mục kh&aacute;c nhau.</p>

<p>- Tuỳ chỉnh nội dung sản phẩm.</p>

<p>M&igrave;nh mong sẽ hợp t&aacute;c l&acirc;u d&agrave;i v&igrave; sau c&aacute;i fanpage facebook m&igrave;nh sẽ c&oacute; nhiều thay đổi về sau. Dự định sẽ l&agrave;m 1 website b&aacute;n h&agrave;ng tren Haravan.</p>

<p>Hiện giờ facebook page, website đ&atilde; đi v&agrave;o hoạt động v&agrave; cập nhật của bạn sẽ l&ecirc;n ngay lập tức :)). Vai tr&ograve; của bạn rất quan trọng với doanh nghiệp của m&igrave;nh.</p>

<p>B&ecirc;n m&igrave;nh sẽ trả theo c&ocirc;ng việc ho&agrave;n th&agrave;nh chứ kh&ocirc;ng nhất thiết theo thời gian n&ecirc;n bạn c&oacute; thể đề xuất hay nghĩ ra c&aacute;ch l&agrave;m thuận tiện nhất v&agrave; đưa ra đề xuất để c&aacute;i tiến facebook page, website. Nếu l&agrave;m tốt c&ocirc;ng việc th&igrave; b&ecirc;n m&igrave;nh c&oacute; thể trả nhiều hơn ng&acirc;n s&aacute;ch đưa ra.</p>

<p>Ưu ti&ecirc;n:</p>

<p>- Người từng chỉnh sửa, nhập liệu qua trang web của Haravan v&agrave; facebook.</p>

<p>- Ở trong TP Hồ Ch&iacute; Minh v&igrave; sẽ cần gặp nhau để trau đổi chi tiết về y&ecirc;u cầu c&ocirc;ng việc.</p>

<p>- Biết html, css.</p>

<p>- M&igrave;nh sẽ trao đổi chủ yếu qua facebook. Cần bạn responsive.</p>

<p>- Cũng dễ chịu v&igrave; c&oacute; rất nhiều sản phẩm kh&ocirc;ng cần chỉnh sửa chi tiết.</p>
",1035,2,1,"<p>Kỹ năng g&otilde; ph&iacute;a v&agrave; nhập liệu nhanh</p>
"
3026,Nhập liệu hóa đơn/chứng từ ,"<p>M&ocirc; tả chi tiết:</p>

<p>- Chụp h&igrave;nh, nhập h&oacute;a đơn v&agrave;o hệ thống. (t&agrave;i liệu tiếng anh)</p>

<p>- L&agrave;m trong 1-2 ng&agrave;y</p>

<p>- Nhận t&agrave;i liệu v&agrave; l&agrave;m tại nh&agrave;</p>

<p>Vị tr&iacute;: Nhận t&agrave;i liệu tại Quận 3 th&agrave;nh phố Hồ Ch&iacute; Minh.</p>

<p>Mức lương: 40k-50k/h</p>
",1035,2,1,"<p>L&agrave;m việc nhanh nhẹn</p>
"
3027,Cắt path-chỉnh màu sản phẩm,"<p>Sử dụng th&agrave;nh thạo pentool trong clipping path</p>

<p>Chỉnh m&agrave;u,đổi m&agrave;u v&agrave; l&agrave;m đều m&agrave;u c&aacute;c h&igrave;nh</p>
",1035,1,2,"<p>Từng l&agrave;m qua c&ocirc;ng việc tương tự</p>
"
3028,"Thiết kế Sweater, Hoodie, Jacket, Shoes 3D","<p>Team cần tuyển gấp 02 bạn c&oacute; kinh nghiệm tối thiểu 1 năm Thiết kế Sweater, Hoodie, Jacket, Shoes 3D...</p>
",1035,1,2,"<p>- c&oacute; mắt gu thẩm mỹ tốt</p>

<p>- nhanh nhẹn tự chủ trong c&ocirc;ng việc</p>

<p>- c&oacute; khả năng l&agrave;m mockup v&agrave; c&aacute;c y&ecirc;u cầu thiết kế kh&aacute;c</p>

<p>- C&oacute; am hiểu về thời trang l&agrave; 1 lợi thế</p>

<p>Đ&uacute;ng hẹn, tr&aacute;ch nhiệm trong c&ocirc;ng việc l&agrave; điều bắt buộc. Lương thoả thuận. Vui l&ograve;ng li&ecirc;n hệ, xin cảm ơn!</p>
"
3029,Content Creator cho sản phẩm Chatbot AI,"<p>1. M&ocirc; Tả C&ocirc;ng Việc</p>

<p>Ch&uacute;ng t&ocirc;i đang t&igrave;m kiếm một Content Creator s&aacute;ng tạo v&agrave; chuy&ecirc;n nghiệp c&oacute; kinh nghiệm trong sản xuất video quảng c&aacute;o để hỗ trợ tạo ra c&aacute;c video hấp dẫn, gi&uacute;p quảng b&aacute; phần mềm quản l&yacute; tin nhắn đa k&ecirc;nh. Ứng vi&ecirc;n sẽ l&agrave;m việc c&ugrave;ng đội ngũ marketing để x&acirc;y dựng c&aacute;c video truyền tải r&otilde; r&agrave;ng lợi &iacute;ch v&agrave; t&iacute;nh năng của phần mềm cho đối tượng kh&aacute;ch h&agrave;ng ch&iacute;nh l&agrave; doanh nghiệp vừa v&agrave; nhỏ (SME) v&agrave; c&aacute;c chủ doanh nghiệp trong c&aacute;c ng&agrave;nh như FnB, Spa, Gi&aacute;o dục, v&agrave; Du lịch.</p>

<p>2. Tr&aacute;ch Nhiệm C&ocirc;ng Việc</p>

<p>Ph&aacute;t triển &yacute; tưởng s&aacute;ng tạo, l&ecirc;n kịch bản cho c&aacute;c video quảng c&aacute;o.</p>

<p>Sản xuất c&aacute;c video chất lượng cao (2-5 ph&uacute;t) để giới thiệu t&iacute;nh năng nổi bật như ph&acirc;n t&iacute;ch cảm x&uacute;c, quản l&yacute; rủi ro, v&agrave; cải thiện chăm s&oacute;c kh&aacute;ch h&agrave;ng.</p>

<p>Tạo motion graphics, animation v&agrave; c&aacute;c hiệu ứng h&igrave;nh ảnh bắt mắt để minh họa c&aacute;ch sử dụng phần mềm.</p>

<p>Chỉnh sửa video ph&ugrave; hợp cho nhiều nền tảng: Facebook, YouTube, TikTok, v&agrave; Google Ads.</p>

<p>Tối ưu h&oacute;a nội dung video theo thị hiếu của từng đối tượng (quản l&yacute; doanh nghiệp, chủ SME).</p>

<p>Kết hợp nhạc nền, lồng tiếng, phụ đề v&agrave; hiệu ứng theo đ&uacute;ng nhận diện thương hiệu.</p>

<p>Phối hợp với đội ngũ marketing để đảm bảo nội dung ph&ugrave; hợp với chiến lược v&agrave; th&ocirc;ng điệp của từng chiến dịch.</p>

<p>Cải thiện v&agrave; chỉnh sửa video dựa tr&ecirc;n phản hồi v&agrave; kết quả từ c&aacute;c chiến dịch quảng c&aacute;o.</p>

<p>3. Y&ecirc;u Cầu Kỹ Năng</p>

<p>C&oacute; tối thiểu 2 năm kinh nghiệm sản xuất video v&agrave; s&aacute;ng tạo nội dung, với portfolio thể hiện c&aacute;c video quảng c&aacute;o hoặc dự &aacute;n li&ecirc;n quan đến SaaS.</p>

<p>Th&agrave;nh thạo c&aacute;c phần mềm chỉnh sửa video (v&iacute; dụ: Adobe Premiere, After Effects, Final Cut Pro hoặc DaVinci Resolve).</p>

<p>C&oacute; khả năng kể chuyện tốt v&agrave; c&oacute; gu thẩm mỹ về h&igrave;nh ảnh v&agrave; m&agrave;u sắc.</p>

<p>Kinh nghiệm sản xuất c&aacute;c video ngắn (30s&ndash;1 ph&uacute;t) cho c&aacute;c nền tảng TikTok, Facebook.</p>

<p>Hiểu biết cơ bản về phần mềm SaaS hoặc nền tảng tin nhắn đa k&ecirc;nh l&agrave; một lợi thế.</p>

<p>C&oacute; khả năng l&agrave;m việc độc lập v&agrave; ho&agrave;n th&agrave;nh đ&uacute;ng hạn.</p>

<p>Kinh nghiệm với c&aacute;c sản phẩm li&ecirc;n quan đến AI v&agrave; khả năng giải th&iacute;ch c&aacute;c kh&aacute;i niệm phức tạp một c&aacute;ch dễ hiểu.</p>

<p>Kỹ năng giao tiếp tốt v&agrave; khả năng l&agrave;m việc từ xa với đội ngũ.</p>

<p>4. Phạm Vi C&ocirc;ng Việc &amp; Kết Quả Mong Đợi</p>

<p>Kết quả đầu ra:</p>

<p>3-5 video quảng c&aacute;o d&agrave;i (2-5 ph&uacute;t).</p>

<p>2-3 video ngắn (30s&ndash;1 ph&uacute;t) cho quảng c&aacute;o tr&ecirc;n mạng x&atilde; hội.</p>

<p>Video c&oacute; t&iacute;ch hợp hiệu ứng motion graphics v&agrave; text overlay.</p>

<p>5. Quyền Lợi</p>

<p>T&ugrave;y thuộc v&agrave;o số lượng video v&agrave; độ phức tạp</p>

<p>C&oacute; thưởng nếu dự &aacute;n đạt hiệu quả cao v&agrave; tạo t&aacute;c động lớn đến chiến dịch.</p>
",1035,2,1,"<p>Biết sử mạng x&atilde; hội</p>
"
3030,"Đưa ra kế hoạch, chiến lược cho công việc Starup bán áo thun local brand","<p>- Đưa ra kế hoạch tổng qu&aacute;t, chiến lược cho c&ocirc;ng việc</p>

<p>C&oacute; thể chọn l&agrave;m th&ecirc;m hỗ trợ hoặc quản l&yacute; c&aacute;c đầu việc sau (sẽ được trả th&ecirc;m theo thương lượng):</p>

<p>- Hỗ trợ x&acirc;y dựng thương hiệu v&agrave; Marketing</p>

<p>- T&igrave;m kiếm xưởng sản xuất: T&igrave;m một xưởng sản xuất uy t&iacute;n, c&oacute; chất lượng sản phẩm tốt v&agrave; gi&aacute; cả hợp l&yacute;.</p>

<p>- Quản l&yacute; chất lượng: Kiểm so&aacute;t chặt chẽ chất lượng sản phẩm trước khi đưa ra thị trường.</p>
",1034,2,1,"<p>C&oacute; kinh nghiệm c&ocirc;ng việc tương tự 2 năm</p>
"
3031,Viết plugin wordpress,"<p>T&ocirc;i cần viết mốt plugin cho ph&eacute;p kết nối đồng bộ giữa trang web của t&ocirc;i v&agrave; một b&ecirc;n thứ 3, đ&atilde; c&oacute; docs api sẵn</p>
",1030,1,2,"<p>C&oacute;&nbsp; kiến thức về lập tr&igrave;nh</p>
"
3032,Cần php senior maintain upgrade UI web theo figma,"<p>link dự &aacute;n</p>

<p>https://drive.google.com/drive/folders/11Dc6UmgBNpNJbGQpFNCaHa9HmxvdAW0Z?usp=sharing</p>
",1030,1,2,"<p>c&oacute; kinh nghiệp php 5 năm</p>
"
3033,Mình cần hỗ trợ tối ưu và chạy Quảng cáo Shopee,"<p>M&igrave;nh cần hỗ trợ tối ưu v&agrave; chạy Quảng c&aacute;o Shopee</p>

<p>Vui l&ograve;ng gửi th&ocirc;ng tin chi tiết qua nh&eacute;.</p>

<p>Xin cảm ơn.</p>
",1034,1,1,"<p>C&oacute; kinh nghiệm với c&ocirc;ng việc li&ecirc;n quan</p>
"
3034,Mình cần tìm 1 bạn có kinh nghiệm về phát triển nội dung kênh social,"<p>M&igrave;nh cần t&igrave;m 1 bạn c&oacute; kinh nghiệm về ph&aacute;t triển nội dung k&ecirc;nh social. M&igrave;nh cần l&ecirc;n kế hoạch bi&ecirc;n tập nội dung về tin tức thể thao b&oacute;ng đ&aacute; , phối hợp với editter để đăng nền nền tảng tiktok fb reel</p>
",1034,2,2,"<p>Biết bi&ecirc;n t&acirc;p v&agrave; c&oacute; kiến thức về thể thao</p>
"
3035,Thiết kế website giáo dục,"<p>1. Đ&aacute;nh gi&aacute; hiện trạn website hiện c&oacute;.</p>

<p>2. Thiết kế lại website dựa tr&ecirc;n website sẵn c&oacute; tr&ecirc;n nền tảng Workpress.</p>

<p>3. Quản l&yacute; website (nếu được).</p>
",1030,1,2,"<p>C&oacute; kỹ năng ph&acirc;n t&iacute;ch v&agrave; mắt thẩm mỹ</p>
"
3036,Làm video tiktok từ 45 -50s theo nội dung đã cho,"<p>Bạn sẽ nhận được một nội dung chủ đề v&agrave; dựng một video tiktok ph&ugrave; hợp với chủ đề đ&oacute;. Sau mỗi video bạn sẽ nhận được tiền lu&ocirc;n nếu video đạt y&ecirc;u cầu. Ch&uacute;ng t&ocirc;i cần t&igrave;m 1-2 bạn để hợp t&aacute;c l&acirc;u d&agrave;i. Vui l&ograve;ng gửi cho t&ocirc;i một v&agrave;i thiết kế m&agrave; bạn t&acirc;m đắc. Ch&uacute;ng t&ocirc;i sẽ check xem n&oacute; c&oacute; ph&ugrave; hợp với định hướng ch&uacute;ng t&ocirc;i trước khi đưa ra quyết định</p>
",1035,2,1,"<p>C&oacute; k&ecirc;nh tiktok với &iacute;t nhất 100 lượt theo d&otilde;i</p>
"
3037,"Làm video tiktok, youtube quảng cáo sản phẩm","<p>C&ocirc;ng ty Bất Động Sản H&agrave; Đ&ocirc; Ph&aacute;t cần tuyển 02 cộng t&aacute;c vi&ecirc;n media</p>

<p>- Lĩnh vực : bất động sản</p>

<p>-Số lượng : 02</p>

<p>-Lương thoả thuận</p>

<p>- Nội dung y&ecirc;u cầu : y&ecirc;u cầu quay , edit , đề xuất content ( nếu c&oacute; khả năng ), tư vấn hướng social media cho doanh nghiệp</p>
",1034,2,1,"<p>đảm bảo đ&uacute;ng tiến độ 2 ng&agrave;y 1 clip, l&agrave;m việc chuy&ecirc;n nghiệp , trung thực, linh hoạt , nhanh nhẹn, s&aacute;ng tạo,&hellip;</p>
"
